9.000000000000000222e-01,9.450000000000000622e-01,9.499999999999999556e-01,9.450000000000000622e-01,9.450000000000000622e-01,9.499999999999999556e-01,9.499999999999999556e-01,9.428927976562501145e-01,9.125662095000004470e-01,9.379302039843750993e-01
9.450000000000000622e-01,9.240000000000001545e-01,9.499999999999999556e-01,9.240000000000001545e-01,9.499999999999999556e-01,9.499999999999999556e-01,9.428927976562501145e-01,8.783449766437505524e-01,9.499999999999999556e-01,8.111699640000002987e-01
9.450000000000000622e-01,9.240000000000001545e-01,8.085000000000001075e-01,7.349999999999999867e-01,7.349999999999999867e-01,7.507500000000001394e-01,7.132125000000001380e-01,6.401373642193359803e-01,8.130669788569107048e-01,7.503441631874999684e-01
9.499999999999999556e-01,9.499999999999999556e-01,8.084999999999999964e-01,6.300000000000000044e-01,5.999999999999999778e-01,5.250000000000000222e-01,5.250000000000000222e-01,4.749999999999999778e-01,4.689651019921875497e-01,7.600000000000000089e-01
9.450000000000000622e-01,9.240000000000001545e-01,7.349999999999999867e-01,5.999999999999999778e-01,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,5.000000000000000000e-01,4.749999999999999778e-01,8.000000000000000444e-01
9.450000000000000622e-01,8.662500000000001865e-01,6.825000000000001066e-01,5.000000000000000000e-01,5.000000000000000000e-01,2.999999999999999889e-01,2.999999999999999889e-01,2.999999999999999889e-01,2.999999999999999889e-01,8.000000000000000444e-01
9.499999999999999556e-01,9.428927976562501145e-01,6.792500000000000204e-01,5.250000000000000222e-01,5.000000000000000000e-01,2.999999999999999889e-01,2.999999999999999889e-01,2.999999999999999889e-01,2.999999999999999889e-01,8.000000000000000444e-01
9.428927976562501145e-01,8.365190253750004468e-01,6.401373642193359803e-01,4.749999999999999778e-01,5.000000000000000000e-01,2.999999999999999889e-01,2.999999999999999889e-01,2.999999999999999889e-01,2.999999999999999889e-01,8.000000000000000444e-01
9.125662095000004470e-01,9.499999999999999556e-01,8.130669788569107048e-01,4.689651019921875497e-01,4.749999999999999778e-01,2.999999999999999889e-01,2.999999999999999889e-01,2.999999999999999889e-01,2.999999999999999889e-01,8.000000000000000444e-01
9.379302039843750993e-01,8.111699640000002987e-01,7.503441631874999684e-01,7.600000000000000089e-01,8.000000000000000444e-01,8.000000000000000444e-01,8.000000000000000444e-01,8.000000000000000444e-01,8.000000000000000444e-01,8.000000000000000444e-01
